Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12226,2022-08-09,0.1252897176,0.0753292312,0.0797981899,21,100
Market-Adjusted Model,12266,2022-08-09,0.0077007343,-0.025800239,-0.037790793,21,100
Market-Adjusted Model,12287,2022-08-09,0.073911241,0.0265587854,0.0284197133,21,100
Market-Adjusted Model,12289,2022-08-09,-0.007609619,-0.053323311,-0.053101147,21,100
Market-Adjusted Model,12292,2022-08-09,0.1010337514,0.0522452144,0.0555422237,21,100
Market-Adjusted Model,12294,2022-08-09,0.0520106872,0.0073097105,0.0065191595,21,100
Market-Adjusted Model,12295,2022-08-09,0.0330264815,-0.01290144,-0.012465046,21,100
Market-Adjusted Model,12296,2022-08-09,0.0402234354,-0.005209742,-0.005268092,21,100
Market-Adjusted Model,12297,2022-08-09,0.0401767768,-0.004789798,-0.005314751,21,100
Market-Adjusted Model,12301,2022-08-09,0.0406065838,-0.004681369,-0.004884944,21,100
Market-Adjusted Model,12302,2022-08-09,0.0403326403,-0.005296288,-0.005158887,21,100
Market-Adjusted Model,12303,2022-08-09,0.0544606221,0.0088647867,0.0089690945,21,100
Market-Adjusted Model,12304,2022-08-09,0.0467071822,0.0010810483,0.0012156545,21,100
Market-Adjusted Model,12305,2022-08-09,0.0424356406,-0.00308373,-0.003055887,21,100
Market-Adjusted Model,12307,2022-08-09,0.4207649566,0.4580308891,0.3752734289,21,100
Market-Adjusted Model,12308,2022-08-09,-0.097958187,-0.141725036,-0.143449715,21,100
Market-Adjusted Model,12310,2022-08-09,0.142789096,0.1996218169,0.0972975683,21,100
Market-Adjusted Model,12313,2022-08-09,0.0423479803,-0.003082334,-0.003143547,21,100
Market-Adjusted Model,12314,2022-08-09,0.0527810235,0.0076875882,0.0072894958,21,100
Market-Adjusted Model,12315,2022-08-09,0.0323512298,-0.01334709,-0.013140298,21,100
Market-Adjusted Model,12316,2022-08-09,0.0461971643,0.0006040716,0.0007056366,21,100
Market-Adjusted Model,12317,2022-08-09,0.0712193418,0.0251009757,0.0257278141,21,100
Market-Adjusted Model,12318,2022-08-09,0.0576527742,0.011795724,0.0121612465,21,100
Market-Adjusted Model,12321,2022-08-09,0.0460906744,0.0006085522,0.0005991467,21,100
Market-Adjusted Model,12325,2022-08-09,0.0390922725,0.0041805476,-0.006399255,21,100
Market-Adjusted Model,12326,2022-08-09,0.0160894774,-0.02869798,-0.02940205,21,100
Market-Adjusted Model,12329,2022-08-09,-0.021499091,-0.066555315,-0.066990618,21,100
Market-Adjusted Model,12331,2022-08-09,-0.004400288,-0.049555236,-0.049891816,21,100
Market-Adjusted Model,12332,2022-08-09,0.3422620197,0.2758041949,0.2967704921,21,100
Market-Adjusted Model,12333,2022-08-09,0.1451722535,0.0956153642,0.0996807258,21,100
Market-Adjusted Model,12334,2022-08-09,-0.045167526,-0.091249325,-0.090659053,21,100
Market-Adjusted Model,12338,2022-08-09,0.0441639944,0.0009464918,-0.001327533,21,100
Market-Adjusted Model,12339,2022-08-09,-0.060483911,-0.096017076,-0.105975439,21,100
Market-Adjusted Model,12341,2022-08-09,0.0414203484,-0.004875538,-0.004071179,21,100
Market-Adjusted Model,12345,2022-08-09,0.0306180814,-0.01354976,-0.014873446,21,100
Market-Adjusted Model,12350,2022-08-09,-0.334803906,-0.414934138,-0.380295434,21,100
Market-Adjusted Model,12355,2022-08-09,0.0577945331,0.0125598727,0.0123030054,21,100
Market-Adjusted Model,12358,2022-08-09,0.3316524387,0.306272165,0.286160911,21,100
Market-Adjusted Model,12360,2022-08-09,0.3784403828,0.3369835756,0.3329488551,21,100
Market-Adjusted Model,12363,2022-08-09,0.0045146685,-0.031900963,-0.040976859,21,100
Market-Adjusted Model,12366,2022-08-09,0.0338625321,-0.011809373,-0.011628996,21,100
Market-Adjusted Model,12367,2022-08-09,0.0002106316,-0.012211547,-0.045280896,21,100
Market-Adjusted Model,12368,2022-08-09,0.0526815415,0.0063280931,0.0071900138,21,100
Market-Adjusted Model,12369,2022-08-09,0.1170336292,0.0709044659,0.0715421015,21,100
Market-Adjusted Model,12370,2022-08-09,0.0354345045,-0.006970125,-0.010057023,21,100
Market-Adjusted Model,12372,2022-08-09,0.0218052907,-0.0184469,-0.023686237,21,100
Market-Adjusted Model,12373,2022-08-09,-0.045402441,-0.089242932,-0.090893969,21,100
Market-Adjusted Model,12376,2022-08-09,0.1136079664,0.0636832887,0.0681164387,21,100
Market-Adjusted Model,12377,2022-08-09,-0.030473992,-0.050291567,-0.07596552,21,100
Market-Adjusted Model,12380,2022-08-09,0.2265306325,0.1625176972,0.1810391048,21,100
Market-Adjusted Model,12385,2022-08-09,0.0016474073,-0.042346855,-0.04384412,21,100
Market-Adjusted Model,12391,2022-08-09,-0.013840899,-0.054804253,-0.059332427,21,100
Market-Adjusted Model,12397,2022-08-09,0.0740740789,0.0357198811,0.0285825512,21,100
Market-Adjusted Model,12400,2022-08-09,0.1383885125,0.0872526253,0.0928969848,21,100
Market-Adjusted Model,12411,2022-08-09,-0.058091323,-0.097712109,-0.10358285,21,100
Market-Adjusted Model,12412,2022-08-09,-0.019441315,-0.064762419,-0.064932843,21,100
Market-Adjusted Model,12431,2022-08-09,0.1340517556,0.0829170505,0.088560228,21,100
Market-Adjusted Model,12437,2022-08-09,0.0069033219,-0.038912114,-0.038588206,21,100
Market-Adjusted Model,12442,2022-08-09,-0.099607878,-0.13770313,-0.145099406,21,100
Market-Adjusted Model,12443,2022-08-09,0.0804093201,0.044859487,0.0349177925,21,100
Market-Adjusted Model,12447,2022-08-09,0.1767232311,0.131333713,0.1312317034,21,100
Market-Adjusted Model,12448,2022-08-09,0.0067061388,-0.037228327,-0.038785389,21,100
Market-Adjusted Model,12449,2022-08-09,0.036978145,-0.008429718,-0.008513383,21,100
Market-Adjusted Model,12452,2022-08-09,-0.19939878,-0.2429658,-0.244890308,21,100
Market-Adjusted Model,12453,2022-08-09,0.0043530028,-0.041713077,-0.041138525,21,100
Market-Adjusted Model,12457,2022-08-09,0.0136632839,-0.031005351,-0.031828244,21,100
Market-Adjusted Model,12461,2022-08-09,0.0389450146,-0.006503194,-0.006546513,21,100
Market-Adjusted Model,12462,2022-08-09,-0.002660074,-0.047654214,-0.048151602,21,100
Market-Adjusted Model,12472,2022-08-09,0.0756127531,0.0312692531,0.0301212254,21,100
Market-Adjusted Model,12473,2022-08-09,0.0621069145,0.0171989802,0.0166153868,21,100
Market-Adjusted Model,12476,2022-08-09,0.0923189658,0.0478861667,0.0468274382,21,100
Market-Adjusted Model,12477,2022-08-09,0.0091195071,-0.033711362,-0.036372021,21,100
Market-Adjusted Model,12480,2022-08-09,0.0928374014,0.0457316705,0.0473458737,21,100
Market-Adjusted Model,12487,2022-08-09,0.0766779916,0.0358414632,0.0311864639,21,100
Market-Adjusted Model,12488,2022-08-09,-0.073954917,-0.098155933,-0.119446445,21,100
Market-Adjusted Model,12490,2022-08-09,0.0615930843,0.014550805,0.0161015566,21,100
Market-Adjusted Model,12495,2022-08-09,-0.097959188,-0.136788611,-0.143450716,21,100
Market-Adjusted Model,12497,2022-08-09,-0.138392881,-0.190567854,-0.183884409,21,100
Market-Adjusted Model,12500,2022-08-09,0.277990576,0.5059968695,0.2324990483,21,100
Market-Adjusted Model,12502,2022-08-09,0.1489800974,0.1134876236,0.1034885697,21,100
Market-Adjusted Model,12505,2022-08-09,-0.020435865,-0.065174399,-0.065927393,21,100
Market-Adjusted Model,12508,2022-08-09,0.0024909191,-0.042640663,-0.043000609,21,100
Market-Adjusted Model,12510,2022-08-09,-0.06036564,-0.101908911,-0.105857167,21,100
Market-Adjusted Model,12513,2022-08-09,-0.047746254,-0.093259884,-0.093237782,21,100
Market-Adjusted Model,12514,2022-08-09,0.0740276362,0.0261057738,0.0285361086,21,100
Market-Adjusted Model,12515,2022-08-09,0.0371443574,-0.007018731,-0.00834717,21,100
Market-Adjusted Model,12516,2022-08-09,0.0511528207,0.0046706057,0.0056612931,21,100
Market-Adjusted Model,12523,2022-08-09,0.0593559704,0.0124372042,0.0138644427,21,100
Market-Adjusted Model,12527,2022-08-09,0.1585365347,0.1228711335,0.113045007,21,100
Market-Adjusted Model,12528,2022-08-09,0.0205670135,-0.018509248,-0.024924514,21,100
Market-Adjusted Model,12530,2022-08-09,-0.026584862,-0.070857372,-0.072076389,21,100
Market-Adjusted Model,12531,2022-08-09,-0.081893785,-0.121608117,-0.127385313,21,100
Market-Adjusted Model,12533,2022-08-09,0.0885749308,0.0409123396,0.0430834031,21,100
Market-Adjusted Model,12534,2022-08-09,0.0450619977,0.001528944,-0.00042953,21,100
Market-Adjusted Model,12535,2022-08-09,0.0459060091,0.0002620879,0.0004144815,21,100
Market-Adjusted Model,12536,2022-08-09,0.0173753598,-0.02752076,-0.028116168,21,100
Market-Adjusted Model,12537,2022-08-09,0.0002872523,-0.045241786,-0.045204275,21,100
Market-Adjusted Model,12540,2022-08-09,0.2102563224,0.1520131178,0.1647647947,21,100
Market-Adjusted Model,12542,2022-08-09,0.1624583027,0.1253530068,0.1169667751,21,100
Market-Adjusted Model,12543,2022-08-09,0.0448646792,-0.001822506,-0.000626848,21,100
Market-Adjusted Model,12552,2022-08-09,0.0561172712,0.0092789542,0.0106257435,21,100
Market-Adjusted Model,12556,2022-08-09,0.0280705387,0.0393167418,-0.017420989,21,100
Market-Adjusted Model,12558,2022-08-09,0.0644495895,0.0179985674,0.0189580618,21,100
Market-Adjusted Model,12559,2022-08-09,0.0158730154,-0.018068056,-0.017966452,6,100
Market-Adjusted Model,12564,2022-08-09,0.0098077685,-0.035680311,-0.035683759,21,100
Market-Adjusted Model,12565,2022-08-09,0.014766452,-0.030908391,-0.030725076,21,100
Market-Adjusted Model,12566,2022-08-09,0.1271876213,0.0781933438,0.0816960936,21,100
Market-Adjusted Model,12569,2022-08-09,0.1079032511,0.0674930281,0.0624117234,21,100
Market-Adjusted Model,12570,2022-08-09,0.1074227196,0.0595880661,0.0619311919,21,100
Market-Adjusted Model,12573,2022-08-09,0.4474742666,0.40992552,0.4019827389,21,100
Market-Adjusted Model,12577,2022-08-09,0.0729927234,0.0831241236,0.0275011957,21,100
Market-Adjusted Model,12578,2022-08-09,-0.000303532,-0.045265436,-0.04579506,21,100
Market-Adjusted Model,12579,2022-08-09,0.2392157357,0.1931383555,0.193724208,21,100
Market-Adjusted Model,12583,2022-08-09,-0.012109487,-0.056482195,-0.057601015,21,100
Market-Adjusted Model,12591,2022-08-09,0.0822027067,0.0356939577,0.036711179,21,100
Market-Adjusted Model,12592,2022-08-09,-0.081286174,-0.124076145,-0.126777702,21,100
Market-Adjusted Model,12593,2022-08-09,0.110498626,0.0607914578,0.0650070983,21,100
Market-Adjusted Model,12615,2022-08-09,0.0578034842,0.0131348744,0.0123119565,21,100
